ID,Pages,Views,Title,Summary
422751461,134,1K,Basic English Grammar (Final),"Basic English Grammar (Final)  description This document discusses parts of speech and introduces nouns and pronouns. It explains that nouns and pronouns function as subjects and objects in clauses and sentences. There are two main types of nouns - common nouns that refer to general things, and proper nouns that refer to specific people, places, months, or days. Nouns can also be singular or plural, and there are several ways that nouns form their plural forms by adding ""s"", ""es"", or having irregular plural forms. The document provides examples and tables to illustrate the different types of nouns. Basic"
72081974,110,11K,Basic English Grammar,"Basic English Grammar  description The document provides an overview of basic English grammar, focusing on parts of speech such as nouns, pronouns, and verbs. It defines nouns and the different types of nouns, and discusses noun number (singular and plural forms), noun gender, and irregular noun plurals. It also defines pronouns and identifies different pronoun types such as personal, possessive, demonstrative, and relative pronouns. The document aims to concisely explain English grammar in a clear and accessible way for students and other learners of English. Basic English Grammar  description The document provides an overview of basic English grammar,"
650309655,2,156,History of English Grammar,"History of English Grammar   1. The document discusses the history of English grammars, dividing it into two periods: pre-1900 and the 20th century. 2. The first period included early descriptive grammars in the 16th-18th centuries, later replaced by prescriptive grammars which aimed to standardize English usage. 3. In the late 19th century, scientific grammars emerged seeking a more rigorous descriptive and explanatory approach, marking the start of the second period seeing new structural and transformational grammars developed in the 20th century. The document discusses the history of"
88901588,52,765,English Grammar,"English Grammar  description This document provides strategies and information about English grammar to help students pass the ESOL, TOEFL, SAT, GRE, and other high-level and advanced tests. It discusses strategies like writing about personal experiences to practice and improve grammar. It also covers topics like verb tenses and moods, causative verbs, the use of ""so"" and ""too"" to avoid repetition, and the differences between ""be used to"" and ""used to"". Examples are provided to illustrate grammar points. English Grammar  description This document provides strategies and information about English grammar to help students pass the ESOL, TOEFL, SAT, GRE,"
444198544,65,4K,Summary of Basic English Grammar,"Summary of Basic English Grammar  description This document provides a summary of basic English grammar rules across 40 lessons. It covers the 12 tenses in English including present simple, present continuous, past simple, and future perfect tenses. It also covers other basic grammar structures such as modal verbs, question tags, conditionals, and passive voice. Each grammar point includes clear definitions, examples, and exercises for practice. The goal is for learners to understand and apply the grammar rules to improve their spoken and written English skills. Summary of Basic English Grammar  description This document provides a summary of basic"
682311821,52,34,English Grammar,"English Grammar   This document provides a summary of English grammar in 3 sections. Section 1 defines English grammar and discusses standard English. Section 2 describes the 8 main word classes and how words combine to form phrases. Section 3 discusses nouns in more detail, including count/non-count nouns and possessive forms. The document is authored by Mohammed Jasim Betti from the University of Thi-Qar and provides an overview of core grammatical concepts in English. Section 1 defines English grammar and"
261803151,38,453,English Grammar Tenses,"English Grammar Tenses   The document discusses English tenses and provides information about 12 basic tenses: present, present continuous, present perfect, present perfect continuous, past, past continuous, past perfect, past perfect continuous, future, future continuous, future perfect, and future perfect continuous. It explains the structure and use of each tense and includes examples. It also notes that while understanding tenses is helpful for English learners, native English speakers may not be able to explicitly explain tenses and that communicating effectively is more important than obsessing over tenses. English Grammar Tenses   The document discusses"
619209997,12,64,Comlete English Grammar,"Comlete English Grammar  description This document provides a comprehensive overview of English grammar, covering topics such as parts of speech, sentence structure, tenses, and their definitions and examples. It begins by defining letters, words, and sentences. It then discusses the eight parts of speech and provides examples of each. Finally, it examines the three main tenses - present, past, and future - outlining their formation and providing simple, interrogative, and negative examples of many types of clauses within each tense. Comlete English Grammar  description This document provides a comprehensive overview of English grammar, covering topics such as parts"
706348513,216,3K,English Grammar Workbook For IELTS,"English Grammar Workbook For IELTS  description This document provides conversation cards to practice spoken English about various topics including food, family, and experiences. There are 15 questions provided about food, 17 questions about family, and 9 questions about experiences to help English learners have conversations and improve their speaking skills. The goal of the conversation cards is to help prepare for the IELTS speaking exam by practicing discussing everyday topics that assess English proficiency. There"
95474600,36,22K,Learning English: Grammar Grammar Grammar Grammar,"Learning English: Grammar Grammar Grammar Grammar   The document provides instructions for learning English grammar. It begins with a preface thanking various individuals who helped compile grammar lessons from online sources into the book. The preface notes that the book is intended for students of the School of Agriculture Development and is not for commercial use. It then lists the grammar lessons that will be covered, including topics like the present simple, present continuous, past simple, present perfect, and pluperfect tenses. Learning English: Grammar Grammar Grammar Grammar   The document provides instructions for learning"
433664095,271,17K,Perfect English Grammar PDF,"Perfect English Grammar PDF   The document summarizes the present simple tense and past simple tense in English grammar. It outlines the positive, negative, and interrogative forms for both tenses. For the present simple tense, it provides examples of its common uses such as for facts, habits, descriptions, timetables, and feelings. It also lists irregular verbs for the past simple tense. For the present"
755171350,2,179,English Grammar List,English Grammar List English Grammar List English Grammar List English Grammar List About Support Legal Social Get our free apps  Get our free apps
400733524,4,203,English Grammar Exercise,"English Grammar Exercise  description The document contains an English grammar exercise with 12 fill-in-the-blank questions about verb tenses and parts of speech. The questions cover topics like using the present, past, and present perfect tenses correctly; distinguishing between verbs like ""do"" and ""does""; and identifying the differences between phrases like ""Would you mind..."" and ""Do you mind..."". The answers to the questions are provided at the end. The questions cover topics like using the present, past,"
25054899,22,688,English Grammar in Use A Self - Study and Practice Book For Omtex Students,"English Grammar in Use A Self - Study and Practice Book For Omtex Students   This document provides a self-study and practice book for English grammar. It begins by presenting different verb tenses including simple present, present continuous, present perfect, and present perfect continuous tenses. It then covers simple past, past continuous, past perfect, and past perfect continuous tenses. Finally, it discusses simple future, future continuous, future perfect, and future perfect continuous tenses. The document provides examples of each tense to help students practice and understand English grammar concepts. English Grammar in Use A Self - Study"
411441902,5,27,English Grammar Rules,"English Grammar Rules  description This document discusses teaching English grammar to homeschool students. It provides quick-start guides for teaching grammar, introduces the author Diane Porter, and provides links to follow the author on social media platforms like Facebook, Twitter, Google+, Pinterest, and email. The guides are designed to help homeschool moms teach English grammar effectively."
445983141,4,172,RPS Advanced English Grammar,"RPS Advanced English Grammar   This document outlines the topics and objectives for an Advanced English Grammar course. The course will cover compound sentences, complex sentences, complex and compound sentences, noun groups, relative clauses, adverbial clauses, noun clauses, indirect construction, coordination, contracted clauses, conditional sentences, parallelism, verb patterns, verbal constructions, and passive voice. For each topic, students will develop mastery through applying the concepts in both spoken and written English comprehensively. The course will utilize references from A Comprehensive Grammar of the English Language to support instruction over 12 units lasting 2x45 minutes each. A midterm test"
246860579,20,420,Survival English Grammar,"Survival English Grammar  description This document provides an overview of basic English grammar and vocabulary. It covers personal pronouns and verbs like ""to be"" and ""to have"", verb conjugations, word order in affirmative, negative, and interrogative sentences, ordinal numbers, parts of the day and dates, pronunciation tips, usage of ""there is/are"" and ""some/any"", short answers, common verbs, vocabulary related to family and daily objects, small talk phrases and introductions. It covers personal pronouns and verbs like ""to be"" and ""to have"", verb conjugations,"
747804640,171,649,English Grammar Made Easy Step-By-step Lessons To Improve Your Writing and Speaking,English Grammar Made Easy Step-By-step Lessons To Improve Your Writing and Speaking  title English Grammar Made Easy Step-By-step Lessons To Improve Your Writing and Speaking  title About Support Legal Social Get our free apps  Get our free apps
352793378,16,5K,F1 English Grammar,"F1 English Grammar  description This document contains grammar exercises on pronouns, nouns, present tense, past tense and adjectives. For the pronoun exercise, students are asked to fill in blanks with suitable pronouns. For the noun exercise, students must underline common nouns and circle proper nouns. The present tense exercise requires filling in blanks with correct present tense verbs. The past tense exercise involves using simple past tense verbs. Finally, the adjectives exercise has students underlining the adjectives in sentences. The document provides answers to each exercise. F1 English Grammar  description This document contains grammar exercises on pronouns, nouns,"
